# Norwegian_bokmal-Russian dictionary created from Wikipedia database
# Created on: 2023-05-07T13:25:17+00:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: https://www.dicts.info/uddl.php
# Contact us at: https://www.dicts.info/contact.php
1	1 год
1 (tall)	1 (число)
1. august	1 августа
1. januar	1 января
1. juli	1 июля
1. mai	1 мая
1. november	1 ноября
10	10 год
10 (tall)	10 (число)
100	100 год
100 (tall)	100 (число)
1000	1000 год
1000 (tall)	Тысяча
101	101 год
105	105 год
11	11 год
11 (tall)	11 (число)
11. november	11 ноября
11. september	11 сентября
110	110 год
115	115 год
12	12 год
12 (tall)	12 (число)
12. februar	12 февраля
12. oktober	12 октября
120	120 год
125	125 год
13	13 год
13 (tall)	13 (число)
130	130 год
135	135 год
14	14 год
14 (tall)	14 (число)
14. april	14 апреля
14. februar	14 февраля
14. juni	14 июня
140	140 год
144	144 год
145	145 год
15	15 год
15 (tall)	15 (число)
15. august	15 августа
150	150 год
1530-årene	1530-е
155	155 год
16	16 год
16 (tall)	16 (число)
160	160 год
165	165 год
17	17 год
17 (tall)	17 (число)
17. mars	17 марта
17. september	17 сентября
170	170 год
1728	1728 год
175	175 год
1750-årene	1750-е
1760-årene	1760-е
1770-årene	1770-е
1780-årene	1780-е
1790-årene	1790-е
18	18 год
18 (tall)	18 (число)
180	180 год
1820-årene	1820-е
1830-årene	1830-е
1840-årene	1840-е
1850-årene	1850-е
1860-årene	1860-е
1870-årene	1870-е
1880-årene	1880-е
1890-årene	1890-е
19	19 год
19 (tall)	19 (число)
19. januar	19 января
19. mars	19 марта
190	190 год
1900-årene	1900-е
1920-årene	1920-е
1930-årene	1930-е
1940-årene	1940-е
1950-årene	1950-е
1960-årene	1960-е
1970-årene	1970-е
1980-årene	1980-е
1990-årene	1990-е
2	2 год
2 (tall)	2 (число)
2. februar	2 февраля
2. mars	2 марта
2. november	2 ноября
20	20 год
20 (tall)	20 (число)
20. januar	20 января
200	200 год
21	21 год
21 (tall)	21 (число)
21. juni	21 июня
22	22 год
22 (tall)	22 (число)
22. februar	22 февраля
23	23 год
23 (tall)	23 (число)
23. juni	23 июня
24	24 год
24 (tall)	24 (число)
24. juni	24 июня
24. mai	24 мая
24. oktober	24 октября
25	25 год
25 (tall)	25 (число)
25. mars	25 марта
26	26 год
26 (tall)	26 (число)
27	27 год
27 (tall)	27 (число)
28	28 год
28 (tall)	28 (число)
29	29 год
29 (tall)	29 (число)
29. februar	29 февраля
29. juni	29 июня
29. september	29 сентября
3	3 год
3 (tall)	3 (число)
3. juni	3 июня
30	30 год
30 (tall)	30 (число)
300	300 год
31	31 год
31 (tall)	31 (число)
31. desember	31 декабря
32	32 год
32 (tall)	32 (число)
33	33 год
33 (tall)	33 (число)
34	34 год
34 (tall)	34 (число)
35	35 год
35 (tall)	35 (число)
36	36 год
36 (tall)	36 (число)
37	37 год
37 (tall)	37 (число)
38	38 год
38 (tall)	38 (число)
39	39 год
39 (tall)	39 (число)
4	4 год
4 (tall)	4 (число)
4. juli	4 июля
40	40 год
40 (tall)	40 (число)
400	400 год
41	41 год
41 (tall)	41 (число)
42	42 год
42 (tall)	42 (число)
43	43 год
43 (tall)	43 (число)
44	44 год
45	45 год
45 (tall)	45 (число)
46	46 год
46 (tall)	46 (число)
47	47 год
48	48 год
49	49 год
49 (tall)	49 (число)
5	5 год
5 (tall)	5 (число)
5. november	5 ноября
50	50 год
50 (tall)	50 (число)
500	500 год
51	51 год
52	52 год
53	53 год
54	54 год
55	55 год
56	56 год
57	57 год
58	58 год
59	59 год
6	6 год
6 (tall)	6 (число)
6. august	6 августа
6. januar	6 января
60	60 год
60 (tall)	60 (число)
61	61 год
62	62 год
63	63 год
64	64 год
65	65 год
66	66 год
67	67 год
68	68 год
69	69 год
7	7 год
7 (tall)	7 (число)
70	70 год
71	71 год
72	72 год
73	73 год
74	74 год
75	75 год
76	76 год
77	77 год
78	78 год
79	79 год
8	8 год
8 (tall)	8 (число)
8. desember	8 декабря
80	80 год
80 (tall)	80 (число)
81	81 год
82	82 год
83	83 год
84	84 год
85	85 год
86	86 год
87	87 год
88	88 год
89	89 год
9	9 год
9 (tall)	9 (число)
90	90 год
91	91 год
92	92 год
93	93 год
94	94 год
95	95 год
96	96 год
97	97 год
98	98 год
99	99 год
A	A (латиница)
A cappella	А капелла
ABC	ABC
ASCII	ASCII
AU	Ау
AZ Alkmaar	АЗ (футбольный клуб)
Aachen	Ахен
Aalborg	Ольборг
Aare	Ааре
Abakus (kuleramme)	Абак (математика)
Abbed	Аббат
Abel Janszoon Tasman	Тасман, Абел Янезон
Abelsk gruppe	Абелева группа
Aberdeen	Абердин
Abidjan	Абиджан
Abkhasia	Абхазия
Abolisjonisme	Аболиционизм
Abort	Искусственный аборт
Abraham (bibelsk person)	Авраам
Abraham Lincoln	Линкольн, Авраам
Absint	Абсент
Absolutisme	Абсолютизм
Absolutt størrelsesklasse	Абсолютная звёздная величина
Absoluttverdi	Абсолютная величина
Abstraksjon	Абстракция
Abstrakt ekspresjonisme	Абстрактный экспрессионизм
Abstrakt kunst	Абстракционизм
Abu Dhabi	Абу-Даби
Abu Dhabi	Абу-Даби (эмират)
Abuja	Абуджа
Acapulco	Акапулько
Accra	Аккра
Acetaldehyd	Ацетальдегид
Aceton	Диметилкетон
Acetylen	Ацетилен
Acetylkolin	Ацетилхолин
Acetylsalisylsyre	Ацетилсалициловая кислота
Aconcagua	Аконкагуа
Acre (Brasil)	Акри (штат Бразилии)
Acre (måleenhet)	Акр
Actinium	Актиний
Ad hominem-argument	Ad hominem
Ada	Ада (язык программирования)
Adam Smith	Смит, Адам
Addis Abeba	Аддис-Абеба
Addisjon	Сложение (математика)
Adel	Дворянство
Adelaide	Аделаида (город)
Aden	Аден
Adenbukta	Аденский залив
Adenin	Аденин
Adenosintrifosfat	Аденозинтрифосфорная кислота
Adige	Адидже (река)
Adjektiv	Имя прилагательное
Admiral	Адмирал
Adolf Eichmann	Эйхман, Адольф
Adolf Hitler	Гитлер, Адольф
Adonis	Адонис
Adopsjon	Усыновление
Adrenalin	Адреналин
Adriaterhavet	Адриатическое море
Adsorbsjon	Адсорбция
Advent	Адвент
Adverb	Наречие
Advokat	Адвокат
Aeneiden	Энеида
Aerodynamikk	Аэрогазодинамика
Aerosol	Аэрозоль
Afasi	Афазия
Afghanistan	Афганистан
Aforisme	Афоризм
Afrika	Африка
Afrikaans	Африкаанс
Afrikas Horn	Сомали (полуостров)
Afroamerikanere	Афроамериканцы
Afrodite	Афродита
Agamemnon	Агамемнон
Agatha Christie	Кристи, Агата
Aggregattilstand	Термодинамическая фаза
Aggresjon	Агрессия (психология)
Agnostisisme	Агностицизм
Agora	Агора
Agorafobi	Агорафобия
Agra (by i India)	Агра
Agrigento	Агридженто
Agurk	Огурец обыкновенный
Aids	Синдром приобретённого иммунного дефицита
Aikido	Айкидо
Ain (departement)	Эн (департамент)
Aineias	Эней
Aiolos	Эол
Airbus	Airbus
Aiskhylos	Эсхил
Ajax	Аякс
Ajax (Internett)	AJAX
Ajax (mytologi)	Аякс Великий
Akababukten	Акаба (залив)
Akhnaton	Эхнатон
Akilles	Ахилл
Akira Kurosawa	Куросава, Акира
Akko	Акко (город)
Akkord (musikk)	Аккорд
Akkusativ	Винительный падеж
Akne	Акне
Akropolis	Акрополь
Akselerasjon	Ускорение
Aksiom	Аксиома
Aksje	Акция (финансы)
Aksjeselskap	Корпорация
Akson	Аксон
Akterstavnen	Корма (созвездие)
Aktinoider	Актиноиды
Akupunktur	Акупунктура
Akustikk	Акустика
Akvamarin	Аквамарин
Akvarium	Аквариум
Akvedukt	Акведук
Al Capone	Аль Капоне
Al Gore	Гор, Альберт
Al-Qaida	Аль-Каида
Alabama	Алабама (штат)
Alan Shepard	Шепард, Алан Бартлет
Alan Turing	Тьюринг, Алан Матисон
Alaska	Аляска
Alban Berg	Берг, Альбан
Albania	Албания
Albany (New York)	Олбани (Нью-Йорк)
Albatrosser	Альбатросовые
Albedo	Альбедо
Albert Abraham Michelson	Майкельсон, Альберт Абрахам
Albert Camus	Камю, Альбер
Albert Einstein	Эйнштейн, Альберт
Albert Schweitzer	Швейцер, Альберт
Albert Speer	Шпеер, Альберт
Alberta	Альберта
Albinisme	Альбинизм
Albitt	Альбит
Albuquerque	Альбукерке
Aldehyd	Альдегиды
Aldous Huxley	Хаксли, Олдос Леонард
Alec Guinness	Гиннесс, Алек
Aleksander	Александр
Aleksander den store	Александр Македонский
Aleksandr Pusjkin	Пушкин, Александр Сергеевич
Aleksandr Solzjenitsyn	Солженицын, Александр Исаевич
Aleppo	Халеб
Aleutene	Алеутские острова
Alexander Fleming	Флеминг, Александр
Alexander Graham Bell	Белл, Александер Грэм
Alexander Hamilton	Гамильтон, Александр
Alexander Pope	Поуп, Александр
Alexander VI	Александр VI (папа римский)
Alexandre Dumas	Дюма, Александр (отец)
Alexandre Dumas den yngre	Дюма, Александр (сын)
Alexandria	Александрия
Alexis de Tocqueville	Токвиль, Алексис
Alfa	Альфа (буква)
Alfa Centauri	Альфа Центавра
Alfabet	Алфавит
Alfapartikkel	Альфа-частица
Alfred Dreyfus	Дрейфус, Альфред
Alfred Hitchcock	Хичкок, Альфред
Alfred Nobel	Нобель, Альфред Бернхард
Alfred Russel Wallace	Уоллес, Альфред Рассел
Alfred av England	Альфред Великий
Alge	Водоросли
Algebra	Алгебра
Alger	Алжир (город)
Algerie	Алжир
Algoritme	Алгоритм
Alhambra	Альгамбра
Ali ibn Abi Talib	Али ибн Абу Талиб
Alkalimetall	Щелочные металлы
Alkaloid	Алкалоид
Alkaner	Алканы
Alkener	Алкены
Alkoholer	Спирты
Alkoholholdige drikker	Алкогольные напитки
Alkoholisme	Алкоголизм
Alkymi	Алхимия
Alkyner	Алкины
Allah	Аллах
Allegori	Аллегория
Allel	Аллели
Allen Ginsberg	Гинзберг, Аллен
Allergi	Аллергия
Allitterasjon	Аллитерация
Allofon	Аллофон
Allosaurus	Аллозавр
Allotropi	Аллотропия
Almanakk	Альманах
Almaty	Алма-Ата
Almer	Вяз
Aloe	Алоэ
Alpene	Альпы
Alsace	Эльзас
Altair	Альтаир
Altaj (fjellkjede)	Алтайские горы
Alter	Алтарь
Alteret	Жертвенник (созвездие)
Alternativ medisin	Нетрадиционная медицина
Altruisme	Альтруизм
Aluminium	Алюминий
Aluminiumoksid	Оксид алюминия
Alv	Эльф
Alvar Aalto	Аалто, Алвaр
Alzheimers sykdom	Болезнь Альцгеймера
Amaterasu	Аматэрасу
Amazonaselva	Амазонка
Ambassadør	Посол
Ambrosius av Milano	Амвросий Медиоланский
Amedeo Avogadro	Авогадро, Амедео
Amelia Earhart	Эрхарт, Амелия
Americium	Америций
Amerigo Vespucci	Веспуччи, Америго
Amerikansk Samoa	Американское Самоа
Amerikansk bison	Американский бизон
Amerikansk dollar	Доллар США
Amerikansk fotball	Американский футбол
Amerikansk svartbjørn	Барибал
Amerikas forente stater	Соединённые Штаты Америки
Amerikas konfødererte stater	Конфедеративные Штаты Америки
Ametyst	Аметист
Amfetamin	Амфетамин
Amfibier	Земноводные
Amfiteater	Амфитеатр
Amfora	Амфора
Amharisk	Амхарский язык
Amid	Амиды
Amin	Амины
Aminosyre	Аминокислоты
Amish	Амиши
Amman	Амман
Ammoniakk	Аммиак
Amnesti	Амнистия
Amon	Амон
Ampere	Ампер
Amplitude	Амплитуда
Amsterdam	Амстердам
Amur	Амур (река)
Anabaptister	Анабаптисты
Anagram	Анаграмма
Anaheim	Анахайм (Калифорния)
Analsex	Анальный секс
Anarkisme	Анархизм
Anatole France	Франс, Анатоль
Anatomi	Анатомия
Anaxagoras	Анаксагор из Клазомен
Anaximander	Анаксимандр
Anchorage	Анкоридж
Andalucía	Андалусия
Andamanhavet	Андаманское море
